,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category,CH_Latitude,CH_Longitude,Distance
157939,01590.*A,Fresno Chandler Exec,California,Fresno,36.732125,-119.82033333333332,Reliever,36.737095,-119.810327,0.6522268604036981
162433,01593.*A,Fullerton Muni,California,Fullerton,33.87201388888889,-117.97978333333333,Reliever,33.859413,-117.97493,0.9145966348032591
162624,01593.*A,Fullerton Muni,California,Fullerton,33.87201388888889,-117.97978333333333,Reliever,33.863346,-117.990999,0.8795274801658043
173117,02165.*A,Gillespie Fld,California,San Diego/El Cajon,32.82622222222223,-116.97244444444445,Reliever,32.814368,-116.974443,0.8276964582065511
173118,02165.*A,Gillespie Fld,California,San Diego/El Cajon,32.82622222222223,-116.97244444444445,Reliever,32.814368,-116.974443,0.8276964582065511
173151,02165.*A,Gillespie Fld,California,San Diego/El Cajon,32.82622222222223,-116.97244444444445,Reliever,32.812833,-116.970214,0.9346568204155574
174228,02165.*A,Gillespie Fld,California,San Diego/El Cajon,32.82622222222223,-116.97244444444445,Reliever,32.812833,-116.970214,0.9346568204155574
184659,01641.*A,Hanford Muni,California,Hanford,36.316722222222225,-119.62766666666666,Reliever,36.323778,-119.627095,0.48882173979009114
184883,01641.*A,Hanford Muni,California,Hanford,36.316722222222225,-119.62766666666666,Reliever,36.326734,-119.636597,0.8523412063396044
192001,01651.*A,Hayward Exec,California,Hayward,37.65892777777778,-122.1217361111111,Reliever,37.666392,-122.110511,0.8022836456213829
192265,01651.*A,Hayward Exec,California,Hayward,37.65892777777778,-122.1217361111111,Reliever,37.666686,-122.106352,0.9982474058048622
192300,01651.*A,Hayward Exec,California,Hayward,37.65892777777778,-122.1217361111111,Reliever,37.666686,-122.106352,0.9982474058048622
192649,01651.*A,Hayward Exec,California,Hayward,37.65892777777778,-122.1217361111111,Reliever,37.6654,-122.12076,0.45061844958462677
193219,01651.*A,Hayward Exec,California,Hayward,37.65892777777778,-122.1217361111111,Reliever,37.6672,-122.1204,0.5765350001381501
196970,01654.*A,Hemet-Ryan,California,Hemet,33.734027777777776,-117.02230555555555,Reliever,33.731654,-117.01234,0.5959887608939413
197581,01654.*A,Hemet-Ryan,California,Hemet,33.734027777777776,-117.02230555555555,Reliever,33.726524,-117.008551,0.9457776118610974
214400,01647.*A,Jack Northrop Fld/Hawthorne Muni,California,Hawthorne,33.92286111111111,-118.33508333333333,Reliever,33.9211,-118.3301,0.3107201451338873
215102,01647.*A,Jack Northrop Fld/Hawthorne Muni,California,Hawthorne,33.92286111111111,-118.33508333333333,Reliever,33.922497,-118.322045,0.7483746236961306
