,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category
305111,02389.1*A,Nut Tree,California,Vacaville,38.37822222222222,-121.96119444444444,Reliever
311467,01986.*A,Ontario Intl,California,Ontario,34.056013888888884,-117.60118888888888,Medium
318233,02017.*A,Palm Springs Intl,California,Palm Springs,33.82966666666667,-116.50669444444445,Small
351861,02112.*A,Riverside Muni,California,Riverside,33.951888888888895,-117.44511111111112,Reliever
375443,02160.1*A,San Carlos,California,San Carlos,37.51186111111111,-122.24953055555555,Reliever
378200,02170.*A,San Diego Intl,California,San Diego,32.733555555555554,-117.18966666666667,Large
382671,01539.*A,San Gabriel Valley,California,El Monte,34.08600833333334,-118.03484444444445,Reliever
385935,02211.*A,San Luis County Rgnl,California,San Luis Obispo,35.23727777777778,-120.64261111111112,Non-Hub
425407,02341.*A,Tehachapi Muni,California,Tehachapi,35.134994444444445,-118.4393,Reliever
443034,02383.*A,Ukiah Muni,California,Ukiah,39.12594444444444,-123.20086111111111,Reliever
447053,02396.*A,Van Nuys,California,Van Nuys,34.20980555555556,-118.48997222222222,Reliever
451046,02413.*A,Visalia Muni,California,Visalia,36.31863888888889,-119.39286111111112,Reliever
462807,01818.1*A,Whiteman,California,Los Angeles,34.259325,-118.41343333333334,Reliever
467687,02461.*A,Willows-Glenn County,California,Willows,39.51575555555556,-122.217275,Reliever
477024,02356.1*A,Zamperini Fld,California,Torrance,33.80338333333333,-118.33960833333333,Reliever
478194,02517.*A,Aspen-Pitkin County/Sardy Fld,Colorado,Aspen,39.22188888888889,-106.86822222222222,Non-Hub
481381,02573.*A,Denver Intl,Colorado,Denver,39.861666666666665,-104.67316666666667,Large
482230,02588.*A,Eagle County Rgnl,Colorado,Eagle,39.64275,-106.91594444444445,Non-Hub
482430,02596.131*A,Erie Muni,Colorado,Erie,40.01025,-105.04808333333334,Reliever
483292,02623.*A,Granby-Grand County,Colorado,Granby,40.09005555555556,-105.9166388888889,Reliever
484414,02631.*A,Gunnison-Crested Butte Rgnl,Colorado,Gunnison,38.53433333333333,-106.93175000000001,Non-Hub
493451,02765.*A,Yuma Muni,Colorado,Yuma,40.10571111111111,-102.71443888888889,Reliever
493897,02802.*A,Danbury Muni,Connecticut,Danbury,41.37152777777778,-73.48219444444445,Reliever
494150,02827.*A,Hartford-Brainard,Connecticut,Hartford,41.73672222222223,-72.64944444444446,Reliever
495909,03474.*A,Albert Whitted,Florida,St Petersburg,27.765113888888887,-82.62697499999999,Reliever
497504,03531.*A,Arthur Dunn Air Park,Florida,Titusville,28.622552777777777,-80.83540833333333,Reliever
502501,03112.*A,Clearwater Air Park,Florida,Clearwater,27.977213888888887,-82.75905555555556,Reliever
504112,03135.*A,Crystal River-Capt Tom Davis Fld,Florida,Crystal River,28.867611111111113,-82.57411111111111,Reliever
507637,03408.*A,Exec,Florida,Orlando,28.545461111111113,-81.33293055555555,Reliever
509236,03423.3*A,Flagler Exec,Florida,Palm Coast,29.465149999999998,-81.20765,Reliever
514450,03251.*A,Jacksonville Exec At Craig,Florida,Jacksonville,30.336333333333332,-81.51444444444445,Reliever
514802,03250.1*A,Jacksonville Intl,Florida,Jacksonville,30.494044444444445,-81.68784722222223,Medium
516138,03263.*A,Key West Intl,Florida,Key West,24.556119444444445,-81.75995555555555,Non-Hub
525156,03379.*A,Naples Muni,Florida,Naples,26.152441666666665,-81.77563888888889,Reliever
531321,03198.*A,Page Fld,Florida,Fort Myers,26.58661111111111,-81.86325,Reliever
536993,03451.*A,Pompano Beach Airpark,Florida,Pompano Beach,26.247400000000003,-80.11120833333332,Reliever
538825,03484.*A,Sarasota/Bradenton Intl,Florida,Sarasota/Bradenton,27.395444444444443,-82.55438888888888,Small
544670,03314.*A,The Florida Keys Marathon Intl,Florida,Marathon,24.72619444444444,-81.0513611111111,Reliever
559125,03642.*A,Cobb County Intl-Mccollum Fld,Georgia,Atlanta,34.01316666666666,-84.59702777777777,Reliever
559876,03728.*A,Columbus,Georgia,Columbus,32.516333333333336,-84.93886111111111,Non-Hub
560617,03641.*A,Covington Muni,Georgia,Atlanta,33.632247222222226,-83.84661944444444,Reliever
563281,03643.*A,Dekalb-Peachtree,Georgia,Atlanta,33.87600277777778,-84.30203055555555,Reliever
564107,03760.*A,Douglas Muni,Georgia,Douglas,31.47673888888889,-82.86056666666666,Reliever
566937,03639.*A,Fulton County Exec/Charlie Brown Fld,Georgia,Atlanta,33.779127777777774,-84.52136666666667,Reliever
573818,03805.*A,Lee Gilmer Meml,Georgia,Gainesville,34.27262777777778,-83.830225,Reliever
580832,03992.*A,Savannah/Hilton Head Intl,Georgia,Savannah,32.127583333333334,-81.2021388888889,Small
590080,05829.*A,Ames Muni,Iowa,Ames,41.992044444444446,-93.62181944444444,Reliever
591731,05839.5*A,Audubon County,Iowa,Audubon,41.701527777777784,-94.92044444444446,Reliever
601294,06022.11*A,Grinnell Rgnl,Iowa,Grinnell,41.70988888888889,-92.73597222222223,Reliever
602315,06039.1*A,Hampton Muni,Iowa,Hampton,42.72369444444445,-93.22633333333333,Reliever
602879,06057.1*A,Humboldt Muni,Iowa,Humboldt,42.734861111111115,-94.24547222222222,Reliever
603521,06070.*A,Iowa City Muni,Iowa,Iowa City,41.63977777777778,-91.54813888888889,Reliever
604140,06147.1*A,James G Whiting Meml Fld,Iowa,Mapleton,42.17829444444444,-95.79364444444444,Reliever
606163,06089.*A,Lamoni Muni,Iowa,Lamoni,40.63333333333333,-93.90216944444445,Reliever
615168,05903.*A,Schenck Fld,Iowa,Clarinda,40.72219444444445,-95.02661111111111,Reliever
622103,04206.*A,Friedman Meml,Idaho,Hailey,43.50378055555556,-114.29555833333333,Non-Hub
623413,04224.1*A,Shoshone County,Idaho,Kellogg,47.54726111111111,-116.1890638888889,Reliever
625456,04427.*A,Benton Muni,Illinois,Benton,38.0085,-88.93444444444445,Reliever
626200,04444.*A,Bolingbrook'S Clow Intl,Illinois,Bolingbrook,41.69591666666666,-88.1295,Reliever
629699,04508.1*A,Chicago Exec,Illinois,Chicago/Prospect Heights/Wheeling,42.11427777777778,-87.90152777777779,Reliever
630216,04507.*A,Chicago Midway Intl,Illinois,Chicago,41.78597222222222,-87.75241666666666,Large
633448,04567.*A,De Kalb Taylor Muni,Illinois,De Kalb,41.93383333333333,-88.70568611111112,Reliever
636716,04650.1*A,Flora Muni,Illinois,Flora,38.664988888888885,-88.45311111111111,Reliever
