,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category
3843,27415.1*A,Neillsville Muni,Wisconsin,Neillsville,44.55811111111111,-90.51225,Reliever
3844,27419.*A,New Holstein Muni,Wisconsin,New Holstein,43.94410555555555,-88.11484166666666,Reliever
3845,27427.1*A,New Richmond Rgnl,Wisconsin,New Richmond,45.147777777777776,-92.53916666666666,Reliever
3846,27450.*A,Oconto-J Douglas Bake Muni,Wisconsin,Oconto,44.87405555555556,-87.90976944444445,Reliever
3847,27475.1*A,Palmyra Muni,Wisconsin,Palmyra,42.883544444444446,-88.59991666666666,Reliever
3848,27476.2*A,Park Falls Muni,Wisconsin,Park Falls,45.95509166666667,-90.42443333333334,Reliever
3849,27490.1*A,Platteville Muni,Wisconsin,Platteville,42.68936111111111,-90.4443888888889,Reliever
3850,27496.*A,Portage Muni,Wisconsin,Portage,43.56030555555555,-89.48286111111112,Reliever
3851,27505.*A,Prairie Du Chien Muni,Wisconsin,Prairie Du Chien,43.01928611111111,-91.12373333333332,Reliever
3853,27484.*A,Price County,Wisconsin,Phillips,45.70883333333334,-90.4025,Reliever
3854,27518.*A,Reedsburg Muni,Wisconsin,Reedsburg,43.5259,-89.98322222222222,Reliever
3855,27524.*A,Rhinelander-Oneida County,Wisconsin,Rhinelander,45.630900000000004,-89.46662777777777,Non-Hub
3856,27527.1*A,Rice Lake Rgnl - Carl'S Fld,Wisconsin,Rice Lake,45.42011111111111,-91.77333333333333,Reliever
3857,27625.*A,Richard I Bong,Wisconsin,Superior,46.68968333333333,-92.09464166666666,Reliever
3858,27530.4*A,Richland,Wisconsin,Richland Center,43.28335833333333,-90.29828055555555,Reliever
3859,27308.*A,Rusk County,Wisconsin,Ladysmith,45.496586111111114,-91.0001861111111,Reliever
3860,27254.*A,Sawyer County,Wisconsin,Hayward,46.02526666666667,-91.4442638888889,Reliever
3861,27562.*A,Shawano Muni,Wisconsin,Shawano,44.787305555555555,-88.56001388888889,Reliever
3862,27570.*A,Sheboygan County Meml,Wisconsin,Sheboygan,43.769777777777776,-87.85172222222222,Reliever
3863,27572.*A,Shell Lake Muni,Wisconsin,Shell Lake,45.73138055555556,-91.92066111111112,Reliever
3864,27577.1*A,Solon Springs Muni,Wisconsin,Solon Springs,46.31475,-91.816375,Reliever
3865,27272.*A,Southern Wisconsin Rgnl,Wisconsin,Janesville,42.62025,-89.04155555555555,Reliever
3866,27598.*A,Stevens Point Muni,Wisconsin,Stevens Point,44.54513611111111,-89.53028333333333,Reliever
3867,27364.1*A,Taylor County,Wisconsin,Medford,45.10131944444445,-90.300175,Reliever
3869,27637.1*A,Tomahawk Rgnl,Wisconsin,Tomahawk,45.46936111111111,-89.80488888888888,Reliever
3870,27340.*A,Tri-County Rgnl,Wisconsin,Lone Rock,43.21186111111111,-90.17983333333333,Reliever
3871,27643.8*A,Viroqua Muni,Wisconsin,Viroqua,43.579638888888894,-90.89772222222223,Reliever
3872,27652.*A,Washington Island,Wisconsin,Washington Island,45.38825555555555,-86.92404166666667,Reliever
3873,27659.*A,Watertown Muni,Wisconsin,Watertown,43.16963888888888,-88.72322222222222,Reliever
3874,27661.*A,Waukesha County,Wisconsin,Waukesha,43.04102777777778,-88.23705555555556,Reliever
3875,27664.*A,Waupaca Muni,Wisconsin,Waupaca,44.33325000000001,-89.01977777777778,Reliever
3876,27667.*A,Wausau Downtown,Wisconsin,Wausau,44.92628333333333,-89.62700277777778,Reliever
3877,27672.*A,Wautoma Muni,Wisconsin,Wautoma,44.04313611111111,-89.30569166666666,Reliever
3878,27682.*A,West Bend Muni,Wisconsin,West Bend,43.42216666666666,-88.12791666666666,Reliever
3880,27469.*A,Wittman Rgnl,Wisconsin,Oshkosh,43.98449166666667,-88.55693611111111,Reliever
3881,26959.2*A,Appalachian Rgnl,West Virginia,Williamson,37.68176388888889,-82.12206666666665,Reliever
3882,26908.*A,Braxton County,West Virginia,Sutton,38.68711111111111,-80.65208333333334,Reliever
3883,26744.*A,Eastern Wv Rgnl/Shepherd Fld,West Virginia,Martinsburg,39.40235555555555,-77.983,Reliever
3884,26627.*A,Elkins-Randolph County-Jennings Randolph Fld,West Virginia,Elkins,38.88944444444444,-79.85713888888888,Reliever
3885,26637.1*A,Fairmont Muni-Frankman Fld,West Virginia,Fairmont,39.447541666666666,-80.16763333333334,Reliever
3886,26831.*A,Grant County,West Virginia,Petersburg,38.99494444444444,-79.14586111111112,Reliever
3887,26713.*A,Greenbrier Valley,West Virginia,Lewisburg,37.85830555555556,-80.39948333333334,Non-Hub
